index,id,org_id,url,breed_primary,breed_secondary,color_primary,color_secondary,color_tertiary,age,sex,size,coat,name,status,posted,contact_city,contact_state,contact_zip,contact_country,stateQ
3260,45566406,AR335,https://www.petfinder.com/dog/lordy-45566406/ar/mount-vernon/greener-days-ahead-rescue-ar335/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Beagle,,,,,Adult,Male,Small,,Lordy,adoptable,2019-08-10T03:44:08+0000,mount vernon,AR,72111,US,AR
3261,45560849,AR352,https://www.petfinder.com/dog/roe-45560849/ar/ola/novastar-animal-rescue-ar352/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Mixed Breed,,,,,Baby,Female,Medium,,Roe,adoptable,2019-08-09T17:32:47+0000,Ola,AR,72853,US,AR
3262,45560853,AR352,https://www.petfinder.com/dog/bess-45560853/ar/ola/novastar-animal-rescue-ar352/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shepherd,,,,,Young,Female,Medium,,Bess,adoptable,2019-08-09T17:32:47+0000,Ola,AR,72853,US,AR
3263,45560854,AR352,https://www.petfinder.com/dog/kampfer-45560854/ar/ola/novastar-animal-rescue-ar352/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Baby,Female,Medium,,Kampfer,adoptable,2019-08-09T17:32:47+0000,Ola,AR,72853,US,AR
3264,45560842,AR352,https://www.petfinder.com/dog/oreo-45560842/ar/ola/novastar-animal-rescue-ar352/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,Catahoula Leopard Dog,,,,Baby,Female,Medium,,Oreo,adoptable,2019-08-09T17:32:47+0000,Ola,AR,72853,US,AR
3265,45560843,AR352,https://www.petfinder.com/dog/karli-simone-45560843/ar/ola/novastar-animal-rescue-ar352/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,Pit Bull Terrier,,,,Baby,Female,Medium,,Karli Simone,adoptable,2019-08-09T17:32:47+0000,Ola,AR,72853,US,AR
3266,45560845,AR352,https://www.petfinder.com/dog/rya-45560845/ar/ola/novastar-animal-rescue-ar352/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,,,,,Young,Female,Medium,,Rya,adoptable,2019-08-09T17:32:47+0000,Ola,AR,72853,US,AR
3267,45560851,AR352,https://www.petfinder.com/dog/macquin-45560851/ar/ola/novastar-animal-rescue-ar352/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Mixed Breed,,,,,Young,Male,Medium,,Macquin,adoptable,2019-08-09T17:32:47+0000,Ola,AR,72853,US,AR
3268,45560852,AR352,https://www.petfinder.com/dog/marshmallow-45560852/ar/ola/novastar-animal-rescue-ar352/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,American Bulldog,,,,Baby,Female,Small,,Marshmallow,adoptable,2019-08-09T17:32:47+0000,Ola,AR,72853,US,AR
3269,45560090,AR308,https://www.petfinder.com/dog/poppy-45560090/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Beagle,Australian Cattle Dog / Blue Heeler,,,,Baby,Female,Medium,,Poppy,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
